price(100k),area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
35,5900,2,1,1,yes,no,no,no,no,1,no,furnished
35,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished
35,7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished
35,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished
35,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished
35,5880,2,1,1,yes,no,no,no,no,0,no,unfurnished
35,12944,3,1,1,yes,no,no,no,no,0,no,unfurnished
34.93,4900,3,1,2,no,no,no,no,no,0,no,unfurnished
34.65,3060,3,1,1,yes,no,no,no,no,0,no,unfurnished
34.65,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished
34.65,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
34.3,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
34.3,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished
34.3,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished
34.3,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
34.3,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
34.3,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
34.23,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
33.95,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
33.95,3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished
33.95,3640,2,1,1,yes,no,no,no,no,0,no,furnished
33.6,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished
33.6,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished
33.6,4120,2,1,2,yes,no,no,no,no,0,no,unfurnished
33.6,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished
33.6,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished
33.6,3750,3,1,1,yes,no,no,no,no,0,no,unfurnished
33.6,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished
33.6,3185,2,1,1,yes,no,yes,no,no,2,no,furnished
33.53,2700,3,1,1,no,no,no,no,no,0,no,furnished
33.32,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
33.25,4040,2,1,1,yes,no,no,no,no,1,no,unfurnished
33.25,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished
32.9,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished
32.9,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished
32.9,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
32.9,3480,4,1,2,no,no,no,no,no,1,no,semi-furnished
32.9,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished
32.9,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
32.9,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
32.9,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished
32.55,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished
32.55,3930,2,1,1,no,no,no,no,no,0,no,unfurnished
32.34,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished
32.2,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished
32.2,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished
32.2,4320,3,1,1,no,no,no,no,no,1,no,unfurnished
32.2,3120,3,1,2,no,no,no,no,no,0,no,furnished
31.5,3450,1,1,1,yes,no,no,no,no,0,no,furnished
31.5,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
31.5,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished
31.5,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
31.5,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished
31.5,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
31.5,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished
31.5,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished
31.5,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished
31.43,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
31.29,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished
31.1885,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
31.15,3000,3,1,1,no,no,no,no,yes,0,no,unfurnished
31.15,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
31.15,3500,2,1,1,yes,no,no,no,no,0,no,unfurnished
30.87,8100,2,1,1,yes,no,no,no,no,1,no,unfurnished
30.8,4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished
30.8,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
30.8,3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished
30.8,4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
30.45,3800,2,1,1,yes,no,no,no,no,0,no,unfurnished
30.1,3090,3,1,2,no,no,no,no,no,0,no,semi-furnished
30.1,3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished
30.1,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished
30.1,4600,2,1,1,yes,no,no,no,no,0,no,furnished
30.1,5076,3,1,1,no,no,no,no,no,0,no,unfurnished
30.1,3750,3,1,2,yes,no,no,no,no,0,no,unfurnished
30.1,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
30.03,8050,2,1,1,yes,no,no,no,no,0,no,unfurnished
29.75,4352,4,1,2,no,no,no,no,no,1,no,unfurnished
29.61,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
29.4,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished
29.4,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished
29.4,3600,3,1,2,no,no,no,no,no,1,no,unfurnished
29.4,3660,4,1,2,no,no,no,no,no,0,no,unfurnished
29.4,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
29.4,2700,2,1,1,no,no,no,no,no,0,no,furnished
29.4,3150,3,1,2,no,no,no,no,no,0,no,unfurnished
29.4,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished
28.7,3040,2,1,1,no,no,no,no,no,0,no,unfurnished
28.7,3630,2,1,1,yes,no,no,no,no,0,no,unfurnished
28.7,6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
28.7,5400,4,1,2,yes,no,no,no,no,0,no,unfurnished
28.525,5200,4,1,3,yes,no,no,no,no,0,no,unfurnished
28.35,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished
28.35,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished
28.35,2640,2,1,1,no,no,no,no,no,1,no,furnished
28,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished
28,3960,3,1,1,yes,no,no,no,no,0,no,furnished
27.3,6800,2,1,1,yes,no,no,no,no,0,no,unfurnished
27.3,4000,3,1,2,yes,no,no,no,no,1,no,unfurnished
26.95,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
26.6,3934,2,1,1,yes,no,no,no,no,0,no,unfurnished
26.6,2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
26.6,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished
26.6,2800,3,1,1,yes,no,no,no,no,0,no,unfurnished
26.6,2430,3,1,1,no,no,no,no,no,0,no,unfurnished
26.6,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
26.6,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
26.53,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished
26.53,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished
26.04,2910,2,1,1,no,no,no,no,no,0,no,unfurnished
25.9,3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
25.9,4400,2,1,1,yes,no,no,no,no,0,no,unfurnished
25.9,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
25.2,2880,3,1,1,no,no,no,no,no,0,no,unfurnished
25.2,3180,3,1,1,no,no,no,no,no,0,no,unfurnished
25.2,3000,2,1,2,yes,no,no,no,no,0,no,furnished
24.85,4400,3,1,2,yes,no,no,no,no,0,no,unfurnished
24.85,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished
24.5,3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished
24.5,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished
24.5,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished
24.5,3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished
24.5,4840,2,1,2,yes,no,no,no,no,0,no,unfurnished
24.5,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
24.08,3635,2,1,1,no,no,no,no,no,0,no,unfurnished
23.8,2475,3,1,2,yes,no,no,no,no,0,no,furnished
23.8,2787,4,2,2,yes,no,no,no,no,0,no,furnished
23.8,3264,2,1,1,yes,no,no,no,no,0,no,unfurnished
23.45,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
23.1,3180,2,1,1,yes,no,no,no,no,0,no,unfurnished
22.75,1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished
22.75,3970,1,1,1,no,no,no,no,no,0,no,unfurnished
22.75,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished
22.4,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished
22.33,5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished
21.35,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
21,2400,3,1,2,yes,no,no,no,no,0,no,unfurnished
21,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished
21,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
19.6,3420,5,1,2,no,no,no,no,no,0,no,unfurnished
18.9,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished
18.9,3649,2,1,1,yes,no,no,no,no,0,no,unfurnished
18.55,2990,2,1,1,no,no,no,no,no,1,no,unfurnished
18.2,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
17.6715,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
17.5,3620,2,1,1,yes,no,no,no,no,0,no,unfurnished
17.5,2910,3,1,1,no,no,no,no,no,0,no,furnished
17.5,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
